target;v1;v2;v3;v4;v5;v6;v7;v8;sample_type
5,07;260,6875;197,625;360,9375;339,125;395,5625;198,125;687,875;4724,375;lab 1
4,44;243,2;196,6666667;393,6;356,3333333;400;213;719,2;4689,333333;lab 1
4,66;251,8125;182,625;355,5625;332,5;382,5625;200,1875;659,6875;4189,625;lab 1
4,94;270;184,1875;356,125;330,375;399,9375;219,0625;679,75;3961,625;lab 1
4,86;280,8125;187,1875;361,375;328,9375;397,375;220,4375;669,5;4406,6875;lab 1
4,91;264,2;194,6666667;390,1333333;359,3333333;414,5333333;215,6;727,7333333;4523,8;lab 1
5,26;250,875;181,9375;365,1875;321,5625;392,625;195,3125;650;4219,875;lab 1
4,92;260,5625;192,9375;384,75;337,8125;405,3125;214,9375;705,6875;4590,875;lab 1
4,94;286,4666667;197,2666667;389,5333333;342,2666667;413,7333333;195,0666667;704,2;4470,333333;lab 1
4,57;272,0666667;181,0666667;348,9333333;313,7333333;373,3333333;201,1333333;626,2666667;4142,8;lab 1
4,91;286;216,75;435,3125;396,5625;466,125;244,3125;810,625;4834,1875;lab 1
4,7;281,6666667;190,9333333;364,0666667;323,9333333;385,3333333;214,1333333;662,7333333;4437,866667;lab 1
4,85;265;192,5625;356,625;322,1875;407,3125;206,6875;686,4375;4453,9375;lab 1
4,65;264,9333333;214,2;398,5333333;363,0666667;425,9333333;214,8;753,9333333;4824,933333;lab 1
4,65;279,8;200,2;355,3333333;327,9333333;395,8666667;204,5333333;650,6666667;4551,666667;lab 1
5,02;281,0666667;187,4666667;376,6;335,8;392,8666667;211,9333333;664,7333333;4795,466667;lab 1
4,86;282,7333333;217,4666667;397,8;378,2;454,4666667;232,9333333;778;4485,266667;lab 1
4,62;269,9375;200,875;414,125;384,8125;449,5;250,0625;758,875;4491,0625;lab 1
4,36;266,25;206,875;375;355,875;425,9375;229,625;732,6875;4692;lab 1
4,84;276,9375;203,1875;381;341,25;414,375;217,6875;704,1875;4538,4375;lab 1
4,4;277,1333333;201,6;402,4;379,7333333;420,5333333;220,6;762,2666667;4472,666667;lab 1
4,83;269,9333333;205,6666667;393,2;371,3333333;459,8;241,2666667;755,7333333;4699,6;lab 1
4,48;261,9333333;199,8;367,4;349,8666667;428,2666667;221,0666667;716,2;4567,8;lab 1
4,5;270;206,1333333;386,3333333;359,4;433,7333333;237,8666667;719,6666667;4206,466667;lab 1
